DOI,Optimization Objectives,Authors,Title,Year,Visual/Structural features supported,Special features,Method Type,Layout Method fully described in paper,Domain,Description of layout algorithm,Evaluation,Constraints / Assumptions,Temporal Model,Checked By,Source,Venue
10.1109/TVCG.2023.3261320,,"Q. Chen, and S. Cao, and J. Wang, and N. Cao",How Does Automation Shape the Process of Narrative Visualization: A Survey of Tools,2024,,Survey,,Yes,,Survey of Automatic Narrative Visualization. Storylines are also mentioned.,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1145/3633519,"Crossings - pair crossings, Proximity - Entity pair squared distance","Wang, Yunchao, Sun, Guodao, Zhu, Zihao, Li, Tong, Chen, Ling, Liang, Ronghua",E2Storyline: Visualizing the Relationship with Triplet Entities and Event Discovery,2024,"Labels - characters, Pair relationship matrix",Entity pair relationship visualization,Exact - ILP,Yes,"Movement data - sport, Movies/Books","Multi-objective optimization ILP, where characters have discrete coordinates. Crossing minimization is main objective. Further, the objective can also contain sum of squared distance between pairs that are in an entity-entity relationship at that time. That is, events consist of multiple entitiy-entity relationships which are explicitly visualized in a matrix. In their evaluation, they only minimize crossings though.",User study,"Discrete coordinates, Interaction grouping","Discrete, Persistent characters","Alex, Henry",ACM,ACM Trans. Intell. Syst. Technol.
,"Compactness - limit width, Wiggles/Bends - wiggle count, Wiggles/Bends - wiggle height","Alexander Dobler, Tim Hegemann, Martin Nöllenburg, Alexander Wolff",Optimizing Wiggle in Storylines,2025,,,"Exact - ILP, Exact - Linear Programming, Exact - dynamic programming, Theory",Yes,"Movies/Books, Rolling stock schedules, Social - other","Theory+application paper for wiggle minimization. Polynomial (Q)LP for wiggle height and quadratic wiggle height. Wiggle count minimization is shown to be NP-hard, DP for two time steps. Also, drawing style with circular arcs: width between two time steps is minimized.","Benchmarks, Quantitative metrics (crossings etc), Theory paper","Fixed character ordering in interaction, Interaction grouping, Minimum character separation","Discrete, Interaction duration, Non-persistent characters",Alex,Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
,"Crossings - pair crossings, Fairness, Skewness, Wiggles/Bends - wiggle height","Tommaso Piselli, Giuseppe Liotta, Fabrizio Montecchiani, Martin Nöllenburg, Sara Di Bartolomeo","F2Stories: A Modular Framework for Multi-Objective
Optimization of Storylines with a Focus on Fairness",2025,"Character groups, Labels - characters",Fairness,"Exact - ILP, Heuristic - local search",Yes,,"MILP for computing the complete layout. Characters are placed at discrete coordinates with equal spacing. Standard ILP for crossing minimization. Wiggle and Skewness (number of characters to remove to be planar) are also optimized. All these criteria have adjustable parameters with which they can be weighted in the objective. Further, also fairness of wiggle, skewness, and crossings can be optimized, weighted with further parameters. A post-processing wiggle minimization is also proposed when the ILP does not optimize wiggle. In that case, characters do not have equal spacing. Iteratively and greedily groups of characters are moved up or down as long as wiggle is reduced","Benchmarks, Look at picture (paper says case study), Quantitative metrics (crossings etc)","Equidistant characters, Interaction grouping","Discrete, Non-persistent characters",Alex,IEEE,IEEE Transactions on Visualization and Computer Graphics
,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - quadratic wiggle height, Wiggles/Bends - wiggle count",Li Ye; Lei Wang; Shaolun Ruan; Heyu Wang; Yuwei Meng; Yigang Wang,StoryExplorer: A Visualization Framework for Storyline Generation of Textual Narratives,2025,Labels - characters,"Interactions, User-guided drawing tool","Exact - Linear Programming, Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Pipeline",Yes,Movies/Books,This is a User-AI collaboration tool to generate storylines from text. The StoryFlow layout algorithm is used.,"Look at picture (paper says case study), User study","Equidistant interaction characters, Interaction grouping, Minimum character separation","Discrete, Interaction duration, Non-persistent characters","Alex, Henry",Snowballing,IEEE Transactions on Human-Machine Systems
10.1007/s12650-025-01058-5,Overlap reduction,Haonan YaoLixiang ZhaoBoyuan ChenKaiwen LiHai-Ning LiangLingyun Yu,3DStoryline: immersive visual storytelling,2025,"3D, Multivariate data encoding",3D,Other,Yes,Movement data,3D layout. The new dimension is used to encode space. So no real layout computation besides re-scaling the time axis to avoid overlaps.,User study,,"Discrete, Non-persistent characters","Alex, Henry",SpringerLink,Journal of Visualization
https://doi.org/10.1016/j.cag.2025.104166,"Crossings - pair crossings, Stability","Mingdong Zhang, Li Chen, Junhai Yong",Stratiline: A visualization system based on stratified storyline,2025,"Labels - characters, Locations, Significance scores","Locations, Significance scores","Heuristic - Global ordering, Heuristic - MDS, Heuristic - Sugiyama-like ordering",Yes,"Movement data, Movies/Books","Focus on locations. First, actors, interactions, and locations, get a significance score (weight). The single location order is computed with MDS based on number of characters going between locations. Actors have a global order, and this order is used to sort actors in events. Then a barycenter-like post-processing is used. Y-coordinates do not need to be computed, as locations are rows and actors are equally spaced.","Look at picture (paper says case study), Quantitative metrics (crossings etc)","Interaction grouping, Single cluster/location ordering","Discrete, Non-persistent characters","Alex, Henry",Science Direct,Computers & Graphics
https://doi.org/10.1016/j.cag.2025.104169,"Crossings - pair crossings, Separation","Jie Lin, Chuan-Kai Yang, Chiun-How Kao",Visualizing NBA information via storylines,2025,"Character groups, Labels - characters",,Heuristic - other,Yes,Movement data - sport,"The algorithm is not super clear to me. First, events are spaced out so that crowded regions are avoided. Then, the ordering is computed with TSP sorting or Ellipse sorting. ",Expert interview,Interaction grouping,"Discrete, Persistent characters","Alex, Henry",Science Direct,Computers & Graphics
10.1109/TVCG.2024.3456373,"Compactness - limit whitespace, Crossings - pair crossings, Wiggles/Bends - wiggle count","Y. -H. Kuo, and D. Liu, and K. -L. Ma",SpreadLine: Visualizing Egocentric Dynamic Influence,2025,"Labels - characters, Multivariate data encoding",Protagonist,"Heuristic - Longest Common Subsequence wiggle count minimization, Heuristic - Sugiyama-like ordering, Heuristic - greedy white space reduction, Pipeline",Yes,"Authorship network, Disease outbreak, Social - other","Egocentric storyline of a ego network, ego is straight line. Distinction between 1-alters and 2-alters. Stronger ties are closer to the ego.  Those receiving to ego are below, those sending above. So the ordering is nearly determined by the Data. The layout generation adapts storyflow: The 2-alters that still can change their order are sorted by barycenter. Wiggle count is still minimized with lcs, but ego needs to stay straight.
The compaction step is different from storyflow: A greedy algorithm is used to compact and make lines more straight, the description is not reproducible.","Look at picture (paper says case study), User study","Interaction grouping, Protagonist, Straight protagonist","Discrete, Non-persistent characters","Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,,https://ieeexplore.ieee.org/author/37287357700; https://ieeexplore.ieee.org/author/37275869400; https://ieeexplore.ieee.org/author/37299418300; https://ieeexplore.ieee.org/author/37267727500; https://ieeexplore.ieee.org/author/37299416500,Visualizing Social Interaction in Open Source Software Projects,2007,,Exclude - Sankey,,No,,,,,,"Alex, Henry",Snowballing,2007 6th International Asia-Pacific Symposium on Visualization
10.1109/TVCG.2009.122,,"C. Collins, and G. Penn, and S. Carpendale",Bubble Sets: Revealing Set Relations with Isocontours over Existing Visualizations,2009,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,,"Martin Rosvall, Cart T. Bergstrom",Mapping Change in Large Networks,2010,,Exclude - Sankey,,No,,,,,,"Alex, Henry",Snowballing,PLOS
10.1109/TVCG.2011.255,,"J. Hullman, and N. Diakopoulos",Visualization Rhetoric: Framing Effects in Narrative Visualization,2011,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,No proper definition,"Reda, Khairi, and Tantipathananandh, Chayant, and Johnson, Andrew, and Leigh, Jason, and Berger-Wolf, Tanya, and H. Hauser, H. Pfister, and J. J. van Wijk",Visualizing the Evolution of Community Structures in Dynamic Social Networks,2011,,Exclude - Categorization,Other,No,Social - communities,Layout based on input data features. Short mention of crossings but no optimization for,Expert interview,Interaction grouping,Discrete,"Alex, Henry",EuroGraphics,The Eurographics Association and Blackwell Publishing Ltd.
,Wiggles/Bends - wiggle height,"Arnaud Sallaberry, Chris Muelder, and Kwan-Liu Ma","Clustering, Visualizing, and Navigating for Large Dynamic Graphs",2012,,Exclude - Categorization,Heuristic - Minimum Linear Arrangement ordering,No,Social - communities,"Social clusters form horizontal strips which are spaced equally. Characters are assigned a cluster for each time step. First, ordering of clusters is computed, then ordering of characters within cluster. ",Look at picture (paper says case study),"Interaction grouping, Single cluster/location ordering",Discrete,"Alex, Henry",Graph Drawing and Network Visualization,Graph Drawing and Network Visualization
https://doi.org/10.1016/j.cag.2012.02.010,,"Tao Chen, Aidong Lu, Shi-Min Hu",Visual storylines: Semantic visualization of movie sequence,2012,,Exclude - Other,,No,,,,,,"Alex, Henry",Science Direct,Computers & Graphics
,No proper definition,Chris W. Muelder; Tarik Crnovrsanin; Arnaud Sallaberry; Kwan-Liu Ma,Egocentric Storylines for Visual Analysis of Large Dynamic Graphs,2013,,Exclude - Categorization,"Heuristic - greedy ordering, Other",No,Social - communities,"Interactions are assigned to fixed y-coordinates which are spaced apart equidistantly in vertical direction. First interaction ordering is computed for each timestep with a data-driven greedy algorithm.  Then, character ordering is done greedily keeping as many lines straight as possible.",Look at picture (paper says case study),"Interaction grouping, Vertically equidistant interactions",Discrete,"Alex, Henry",Snowballing,2013 IEEE International Conference on Big Data
10.1109/TVCG.2013.221,,"P. Xu, and Y. Wu, and E. Wei, and T. -Q. Peng, and S. Liu, and J. J. H. Zhu, and H. Qu",Visual Analysis of Topic Competition on Social Media,2013,,Exclude - no character tracking,,No,,To discuss,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1145/2492517.2492638,,"Wu, Meng Qi Yelena, Faris, Robert, Ma, Kwan-Liu",Visual exploration of academic career paths,2013,,Exclude - Other,,No,,,,,,"Alex, Henry",ACM,Proceedings of the 2013 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining
10.1109/TVCG.2014.2299803,,"W. -L. Lu, and Y. -S. Wang, and W. -C. Lin",Chess Evolution Visualization,2014,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2014.2346433,,"W. Cui, and S. Liu, and Z. Wu, and H. Wei",How Hierarchical Topics Evolve in Large Text Corpora,2014,,Exclude - Sankey,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2014.2346919,,"G. Sun, and Y. Wu, and S. Liu, and T. -Q. Peng, and J. J. H. Zhu, and R. Liang",EvoRiver: Visual Analysis of Topic Coopetition on Social Media,2014,,Exclude - Categorization,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2014.2346922,,"J. Zhao, and N. Cao, and Z. Wen, and Y. Song, and Y. -R. Lin, and C. Collins",#FluxFlow: Visual Analysis of Anomalous Information Spreading on Social Media,2014,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/IV.2014.14,,"P. H. Nguyen, and K. Xu, and R. Walker, and B. L. W. Wong",SchemaLine: Timeline Visualization for Sensemaking,2014,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,2014 18th International Conference on Information Visualisation
,,"Blascheck, T., and Kurzhals, K., and Raschke, M., and Burch, M., and Weiskopf, D., and Ertl, T., and R. Borgo and R. Maciejewski and I. Viola",State-of-the-Art of Visualization for Eye Tracking Data,2014,,Exclude - Other,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association
,,"Sayaka Yagi, Takayuki Itoh, Masahiro Takatsuka",A Layout Technique for Storyline-based Visualization of Consecutive Numerical Time-varying Data,2015,,Exclude - Categorization,,No,,,,,,"Alex, Henry",Snowballing,VINCI '15: Proceedings of the 8th International Symposium on Visual Information Communication and Interaction
"10.1111/cgf.12512 ",,"C. Vehlow, F. Beck, P. Auwarter, and D. Weiskopf",Visualizing the Evolution of Communities in Dynamic Graphs,2015,,Exclude - Sankey,,No,,,,,,"Alex, Henry",Snowballing,Computer Graphics Forum
https://doi.org/10.1016/j.artmed.2015.05.008,,"Jose M. Juarez, Jose M. Ochotorena, Manuel Campos, Carlo Combi",Spatiotemporal data visualisation for homecare monitoring of elderly people,2015,,Exclude - Other,,No,,,,,,"Alex, Henry",Science Direct,Artificial Intelligence in Medicine
10.1177/1473871615605347,,"Phong H Nguyen, Kai Xu, Rick Walker, BL William Wong",TimeSets: Timeline visualization with set relations,2015,,Exclude - Other,,No,,,,,,"Alex, Henry",Sage,Information Visualization
10.1109/TKDE.2014.2324581,,"S. Liu, and Y. Chen, and H. Wei, and J. Yang, and K. Zhou, and S. M. Drucker",Exploring Topical Lead-Lag across Corpora,2015,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Knowledge and Data Engineering
,,J. Timothy Balint; Dustin Arendt; Leslie M. Blaha,Storyline Visualizations of Eye Tracking of Movie Viewing,2016,,Exclude - Categorization,,No,,,,,,"Alex, Henry",Snowballing,2016 IEEE Second Workshop on Eye Tracking and Visualization (ETVIS)
10.1109/VAST.2016.7883511,,"X. Wang, and S. Liu, and Y. Chen, and T. -Q. Peng, and J. Su, and J. Yang, and B. Guo",How ideas flow across multiple social groups,2016,,Exclude - Categorization,,No,,,,,,"Alex, Henry",IEEE,2016 IEEE Conference on Visual Analytics Science and Technology (VAST)
10.1109/TVCG.2015.2468151,,"Y. Wu, and N. Pitipornvivat, and J. Zhao, and S. Yang, and G. Huang, and H. Qu",egoSlider: Visual Analysis of Egocentric Network Evolution,2016,,"Exclude - Other, Exclude - unclear",,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,,"Bartolomeo, Marco Di, and Hu, Yifan, and Kwan-Liu Ma and Giuseppe Santucci and Jarke van Wijk",There is More to Streamgraphs than Movies: Better Aesthetics via Ordering and Lassoing,2016,,Exclude - Other,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association and John Wiley & Sons Ltd.
10.1145/2975167.2985688,,"Murugesan, Sugeerth, Bouchard, Kristofer, Chang, Edward, Dougherty, Max, Hamann, Bernd, Weber, Gunther H.",Hierarchical Spatio-temporal Visual Analysis of Cluster Evolution in Electrocorticography Data,2016,,Exclude - Sankey,,No,,,,,,"Alex, Henry",ACM,"Proceedings of the 7th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics"
10.1007/s12650-017-0430-x,,Fangzhou GuoWei ChenTao LinBiao ZhuFan ZhangYingcai WuHuamin Qu,TieVis: visual analytics of evolution of interpersonal ties,2017,,Exclude - Other,,No,,,,,,"Alex, Henry",SpringerLink,Journal of Visualization
,,"McKenna, Sean, and Riche, Nathalie Henry, and Lee, Bongshin, and Boy, Jeremy, and Meyer, Miriah, and Heer, Jeffrey and Ropinski, Timo and van Wijk, Jarke",Visual Narrative Flow: Exploring Factors Shaping Data Visualization Story Reading Experiences,2017,,Exclude - Other,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association and John Wiley & Sons Ltd.
10.1109/ACCESS.2018.2870684,,"Y. Zhao, and Y. She, and W. Chen, and Y. Lu, and J. Xia, and W. Chen, and J. Liu, and F. Zhou",EOD Edge Sampling for Visualizing Dynamic Network via Massive Sequence View,2018,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Access
10.1109/BigData47090.2019.9006351,,"V. Domova, and S. Sander-Tavallaey",Visualization for Quality Healthcare: Patient Flow Exploration,2019,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,2019 IEEE International Conference on Big Data (Big Data)
10.1109/TVCG.2018.2865041,,"Y. Wu, and X. Xie, and J. Wang, and D. Deng, and H. Liang, and H. Zhang, and S. Cheng, and W. Chen",ForVizor: Visualizing Spatio-Temporal Team Formations in Soccer,2019,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,,"Ji, C., and Gronde, J. J., and Maurits, N. M., and Roerdink, J. B. T. M., and Chen, Min and Benes, Bedrich",Visual Exploration of Dynamic Multichannel EEG Coherence Networks,2019,,Exclude - Categorization,,No,,,,,,"Alex, Henry",EuroGraphics,© 2019 The Eurographics Association and John Wiley & Sons Ltd.
,,"Kappe, Christopher, and Böttinger, Michael, and Leitte, Heike, and Gleicher, Michael and Viola, Ivan and Leitte, Heike",Analysis of Decadal Climate Predictions with User-guided Hierarchical Ensemble Clustering,2019,,Exclude - Hierarchy Visualization,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association and John Wiley & Sons Ltd.
,,"Chou, Jia‐Kai, and Wang, Yang, and Ma, Kwan‐Liu, and Chen, Min and Benes, Bedrich",Privacy Preserving Visualization: A Study on Event Sequence Data,2019,,Exclude - Sankey,,No,,,,,,"Alex, Henry",EuroGraphics,© 2019 The Eurographics Association and John Wiley & Sons Ltd.
10.1145/3301275.3302302,,"Watson, Katie, Sohn, Samuel S., Schriber, Sasha, Gross, Markus, Muniz, Carlos Manuel, Kapadia, Mubbasir",StoryPrint: an interactive visualization of stories,2019,,Exclude - Other,,No,,,,,,"Alex, Henry",ACM,Proceedings of the 24th International Conference on Intelligent User Interfaces
10.1109/ACCESS.2020.2980901,,"K. Panetta, and Q. Wan, and S. Rajeev, and A. Kaszowska, and A. L. Gardony, and K. Naranjo, and H. A. Taylor, and S. Agaian",ISeeColor: Method for Advanced Visual Analytics of Eye Tracking Data,2020,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Access
10.1109/VAST50239.2020.00006,,"X. Wang, and W. Chen, and J. Xia, and Z. Chen, and D. Xu, and X. Wu, and M. Xu, and T. Schreck",ConceptExplorer: Visual Analysis of Concept Drifts in Multi-source Time-series Data,2020,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,2020 IEEE Conference on Visual Analytics Science and Technology (VAST)
10.1109/IV51561.2020.00046,,"X. He, and Y. Zhu",Integrated Spatio-temporal Storyline Visualization with Low Crossover,2020,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,2020 24th International Conference Information Visualisation (IV)
,,"Agarwal, Shivam, and Beck, Fabian, and Viola, Ivan and Gleicher, Michael and Landesberger von Antburg, Tatiana",Set Streams: Visual Exploration of Dynamic Overlapping Sets,2020,,Exclude - no character tracking,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association and John Wiley & Sons Ltd.
,,"Bolte, Fabian, and Bruckner, Stefan, and Wilkie, Alexander and Banterle, Francesco",Organic Narrative Charts,2020,,"Exclude - Other, Exclude - unclear",,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association
,,Sara Di Bartolomeo; Yixuan Zhang; Fangfang Sheng; Cody Dunne,Sequence Braiding: Visual Overviews of Temporal Event Sequences and Attributes,2021,,Exclude - Categorization,,No,,,,,,"Alex, Henry",Snowballing,"IEEE Transactions on Visualization and Computer Graphics "
10.1177/14738716211033246,,"François Lévesque, Thomas Hurtut",MuzLink: Connected beeswarm timelines for visual analysis of musical adaptations and artist relationships,2021,,Exclude - Other,,No,,,,,,"Alex, Henry",Sage,Information Visualization
10.1109/VizSec53666.2021.00005,,R. Gove,Automatic Narrative Summarization for Visualizing Cyber Security Logs and Incident Reports,2021,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,2021 IEEE Symposium on Visualization for Cyber Security (VizSec)
,,"Wang, Tao, and Keck, Mandy, and Vosough, Zana, and Agus, Marco and Garth, Christoph and Kerren, Andreas",Discussion Flows: An Interactive Visualization for Analyzing Engagement in Multi-Party Meetings,2021,,"Exclude - Categorization, Exclude - Other",,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association
10.1145/3411764.3445651,,"B\{u}schel, Wolfgang, Lehmann, Anke, Dachselt, Raimund",MIRIA: A Mixed Reality Toolkit for the In-Situ Visualization and Analysis of Spatio-Temporal Interaction Data,2021,,Exclude - no character tracking,,No,,,,,,"Alex, Henry",ACM,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems
10.1007/s12650-022-00893-0,,Xuyi LuYuan XuGuan LiYi ChenGuihua Shan,MVST-SciVis: narrative visualization and analysis of compound events in scientific data,2022,,"Exclude - Other, Exclude - unclear",,No,,,,,,"Alex, Henry",SpringerLink,Journal of Visualization
10.1007/s12650-022-00896-x,,Zihao ZhuYue ShenSujia ZhuGefei ZhangRonghua LiangGuodao Sun,Towards better pattern enhancement in temporal evolving set visualization,2022,,Exclude - Other,,No,,,,,,"Alex, Henry",SpringerLink,Journal of Visualization
https://doi.org/10.1016/j.bdr.2021.100291,,"António Cruz, Joel P. Arrais, Penousal Machado",Force-Directed Timelines: Visualizing & Exploring Temporal Patterns,2022,,Exclude - Other,,No,,,,,,"Alex, Henry",Science Direct,Big Data Research
10.1109/TVCG.2021.3114761,,"Y. Wang, and D. Cheng, and Z. Wang, and J. Zhang, and L. Zhou, and G. He, and O. Deussen",F2-Bubbles: Faithful Bubble Set Construction and Flexible Editing,2022,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2021.3114843,,R. Gove,Automatic Narrative Summarization for Visualizing Cyber Security Logs and Incident Reports,2022,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2021.3114790,,"Y. Wang, and T. -Q. Peng, and H. Lu, and H. Wang, and X. Xie, and H. Qu, and Y. Wu",Seek for Success: A Visualization Approach for Understanding the Dynamics of Academic Careers,2022,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,,"Agarwal, Shivam, and Hoellt, Thomas, and Aigner, Wolfgang, and Wang, Bei",Visualizing Element Interactions in Dynamic Overlapping Sets,2023,,Exclude - Sankey,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association
10.1177/14738716241287116,,"Manuela Garreton, Daniela Moyano, José Guerra, Denis Parra",Survey of data stories: Guidelines for data story authoring,2024,,Exclude - Other,,No,,,,,,"Alex, Henry",Sage,Information Visualization
10.1109/TVCG.2023.3250166,,"G. Valdrighi, and N. Ferreira, and J. Poco",MoReVis: A Visual Summary for Spatiotemporal Moving Regions,2024,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
10.1109/TVCG.2023.3326520,,"A. Offenwanger, and M. Brehmer, and F. Chevalier, and T. Tsandilas",TimeSplines: Sketch-Based Authoring of Flexible and Idiosyncratic Timelines,2024,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
,,"Pron, Mariana, and Agarwal, Shivam, and Poddar, Madhav, and Beck, Fabian, and Tominski, Christian, and Waldner, Manuela, and Wang, Bei",Comparative Analysis of Timeline-based Visualizations for Dynamic Overlapping Sets,2024,,Exclude - Sankey,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association
,,"Dobler, Alexander, and Nöllenburg, Martin, and Aigner, Wolfgang, and Archambault, Daniel, and Bujack, Roxana",Improving Temporal Treemaps by Minimizing Crossings,2024,,Exclude - no character tracking,,No,,,,,,"Alex, Henry",EuroGraphics,The Eurographics Association and John Wiley & Sons Ltd.
,,"Catherine Yeh, Tara Menon, Robin Singh Arya, Helen He, Moira Weigel, Fernanda Viégas, Martin Wattenberg",Story Ribbons: Reimagining Storyline Visualizations with Large Language Models,2025,,"Exclude - Character proximity, Exclude - unclear",,No,,"“This diverges from traditional storyline visualizations where
y-coordinates encode interaction via proximity”. Also there is no real layout computation.",,,,"Alex, Henry",Snowballing,ARXIV
https://doi.org/10.1016/j.is.2025.102568,,"Christoffer Rubensson, Harleen Kaur, Timotheus Kampik, Jan Mendling",Timeline-based process discovery,2025,,Exclude - Other,,No,,,,,,"Alex, Henry",Science Direct,Information Systems
10.1109/TVCG.2025.3528197,,"R. Tinarrage, and J. R. Ponciano, and C. D. G. Linhares, and A. J. M. Traina, and J. Poco",ZigzagNetVis: Suggesting Temporal Resolutions for Graph Visualization Using Zigzag Persistence,2025,,Exclude - Other,,No,,,,,,"Alex, Henry",IEEE,IEEE Transactions on Visualization and Computer Graphics
